iter,time,reward,steps,convergence
1,0.019193605999999974,-169.18,181.68,79.734
2,0.05353662799999981,-149.76,160.04,59.904340923635516
3,0.07625551199999991,6.12,26.3,68.98241073526188
4,0.1024643679999997,19.82,25.16,57.10789841043468
5,0.12515886099999962,20.14,24.84,22.392196315868304
6,0.20315136199999984,20.56,28.24,15.17342111395537
7,0.2482814599999994,23.88,29.2,10.502261204766008
8,0.2711271489999998,36.56,48.06,6.121092838198624
9,0.29816650199999906,37.84,51.78,3.779259748686375
10,0.3223615209999995,37.96,48.02,1.15147151647378
11,0.3346109300000002,39.68,48.88,0.004911098594382324
12,0.3394103770000001,40.7,49.02,0.0006913273704221012
13,0.34256308899999954,39.92,50.58,0.0004702709068968858
14,0.34579222799999965,39.02,48.82,0.00031278909045440173
15,0.34896602799999954,34.82,49.64,0.00020414003441970863
16,0.3540228619999999,38.82,50.96,0.00013158993604989178
17,0.35698903199999954,33.74,51.82,8.437885824363889e-05
18,0.36053747999999963,38.14,49.16,5.413806698406631e-05
19,0.36794246100000016,42.28,50.74,3.4874469681867026e-05
20,0.3780104470000003,39.04,49.24,2.257034938502045e-05
21,0.38124452300000033,38.78,49.06,1.4653288657129337e-05
22,0.38471819799999984,37.64,50.36,9.51762877932083e-06
23,0.3879032210000002,40.96,50.36,6.167106359811214e-06
24,0.39106955300000035,42.88,49.7,3.977403148169856e-06
25,0.3943222010000005,36.78,47.5,2.5497077125180567e-06
26,0.3974449910000013,43.06,49.06,1.624033787450685e-06
27,0.4026998190000013,36.58,48.5,1.0283629805485361e-06
28,0.40708656000000065,38.08,48.7,6.481640806299538e-07
