iter,time,reward,steps,convergence
1,0.000877943999995523,-403.22,193.78,107.1
2,0.0016701799999978562,-336.02,198.68,101.61
3,0.0026886590000003707,-268.72,197.0,107.748
4,0.003470182000000932,-230.04,195.5,115.848
5,0.004397277000002475,-217.0,187.14,105.94800318094943
6,0.005310053999998843,-216.36,189.52,96.85800318888823
7,0.00612393000000111,-192.04,177.9,88.21780520354697
8,0.00636650499999547,-153.0,139.9,87.16394179844697
9,0.007019880999990846,-215.92,170.46,84.28678608542407
10,0.007812136999994834,-119.58,126.46,84.32002296972071
11,0.008567362000000855,-161.08,129.8,77.98850984954746
12,0.009543343000004256,-864.4,110.92,83.26943643757495
13,0.01006661099999917,-22.14,63.38,73.01967863138444
14,0.010304222999998558,-45.34,84.5,65.0482389109636
15,0.010529349999998772,-70.02,66.86,71.66500790667705
16,0.010796824999999899,-99.06,75.92,75.1725363836622
17,0.01104286000000343,-1.98,40.72,91.29173436085686
18,0.011138448000004075,9.84,26.32,93.90248619670183
19,0.01120161600000813,4.78,29.4,99.68376445458225
20,0.011300546000008183,7.8,25.42,103.16052757028561
21,0.011427932000010799,-91.74,61.62,106.99257586941481
22,0.011679523000012182,-38.66,63.06,109.43209485509078
23,0.012458366000011267,-202.34,199.3,115.26269966590561
24,0.01295664800000651,-208.8,200.0,118.13138938767074
25,0.013400027000002979,-199.18,195.34,121.45805947255243
26,0.014124293000001842,-335.38,187.2,126.59447769631234
27,0.014525761000008686,-162.16,123.46,121.68812117638136
28,0.014810328000010031,-132.0,152.14,112.65043496789558
29,0.015090861000004452,-9.7,45.06,104.43631200993805
30,0.01522991600000978,-35.0,63.76,95.61589890584426
31,0.015334166000009475,2.78,35.78,82.19424655397383
32,0.015403590000005352,-7.72,43.08,79.9368051995285
33,0.015516191000003232,-546.28,87.54,74.24645021783911
34,0.01564653300000174,-74.12,47.78,69.10969721703847
35,0.015765863999995133,2.68,28.04,60.31280891829665
36,0.01591805999999707,-82.04,61.08,58.45989753622238
37,0.016038752999996575,-165.28,88.76,58.3231456961708
38,0.016158707999998967,-66.9,51.9,66.15382217254626
39,0.016264896000002693,-180.8,107.0,63.04075201523243
40,0.01640832500000755,-77.8,105.36,70.91710386523533
41,0.016488069000011762,-15.8,44.38,80.5750800688696
42,0.016588063000014586,8.26,26.56,72.95090874098557
43,0.01666405400001736,-3.04,32.14,67.39358893778963
44,0.01676835200001392,1.52,25.82,62.381703290638676
45,0.016838122000010003,-33.52,69.68,65.9605627139757
46,0.016921615000015322,-37.44,61.46,70.63673834194087
47,0.01712290900001534,-37.26,57.08,67.86603336743016
48,0.017351442000020256,-14.46,42.78,60.888032770046436
49,0.01746742600002449,-16.94,27.08,66.3121853820524
50,0.017556552000023373,-53.36,57.7,58.436246223039106
51,0.017711927000021888,-66.94,95.22,51.455057466363186
52,0.017824779000022772,-125.68,99.48,64.62290138362428
53,0.018085538000029544,-126.68,101.9,74.91135774565392
54,0.01882287900002666,-75.6,106.48,86.31089392239967
55,0.018948739000023807,-65.84,103.12,95.57127915776996
56,0.01912216700002034,-82.36,103.62,89.49868661784959
57,0.02000372800002026,-101.22,97.42,82.49496919961443
58,0.02015290100001721,-168.2,180.22,94.28616423890655
59,0.021003192000016213,-208.16,199.3,99.28524602523446
60,0.021321100000015747,-200.94,195.54,103.4058168855872
61,0.02162147900001088,-242.4,161.34,99.89280201830925
62,0.021821528000010915,-202.34,155.12,102.20655467153483
63,0.02201102500001184,-210.32,150.64,105.81883646994982
64,0.02220092900001447,-152.9,135.62,104.08911065411526
65,0.022392110000019727,-190.28,137.18,102.24980347360265
66,0.022525252000022533,-98.2,119.8,104.42014097515437
67,0.022868533000021785,-252.76,182.5,113.95963595791667
68,0.023716930000020398,-213.56,149.66,101.5162213633005
69,0.026444308000016292,-238.58,166.96,103.41365007943791
70,0.02723463900001377,-200.02,197.68,97.59694631194428
71,0.027479017000011652,-153.88,151.12,105.55052970840188
72,0.027878245000010793,-168.0,179.62,90.33017204256433
73,0.028600090000011846,-182.96,188.68,77.54141701963822
74,0.02899524800000819,-166.8,130.58,70.15476777367047
75,0.029480140000003985,-19.66,48.12,59.414323372200194
76,0.029571330999999645,6.34,31.8,52.14650092596272
77,0.02983201800000046,-30.72,60.2,41.91981702271177
78,0.02991562400000447,-91.78,115.8,41.32432345920492
79,0.03004209600000962,-86.7,113.66,30.09403526250594
80,0.030177288000011515,-21.24,57.04,30.570577453123736
81,0.03028971200000541,-149.6,155.3,23.516521961237647
82,0.030363461000000314,-7.04,43.38,22.70293424440799
83,0.03046139299999595,-30.36,65.72,22.82616743408226
84,0.030573827999994307,-197.5,170.74,32.749745332321154
85,0.030734114999994233,-71.82,71.94,39.241682681245926
86,0.030854333999997152,-103.38,66.42,47.217822115406896
87,0.031031824999999458,-78.98,73.5,55.100741660668334
88,0.03134979899999735,-84.7,46.7,65.56058345036644
89,0.03150388099999191,-87.88,33.22,71.94787341674252
90,0.031610803999988946,-246.96,148.22,76.66302355582908
91,0.031806637999984844,-77.52,28.4,75.82293099015324
92,0.03230833899998231,-119.64,58.56,82.30483464016908
93,0.032442254999978104,-167.68,109.6,88.96514437710591
94,0.032610163999976294,-244.66,123.62,78.23650280569169
95,0.03290379399997789,-74.54,97.08,74.9285101505415
96,0.033017594999975586,-117.12,123.72,71.76160602739358
97,0.033184506999972996,-175.78,179.68,75.32423025101286
98,0.033440387999974064,-173.26,164.42,68.45013055865671
99,0.0335963909999748,-166.18,165.72,64.40020717245915
100,0.03386929899997426,-41.06,58.32,60.90423506295491
101,0.033987006999971925,-143.96,127.34,60.635741776901035
102,0.0340928659999733,-73.26,59.54,62.27940811042809
103,0.03420501299997625,-29.76,66.96,58.598578785215544
104,0.03437190499997911,-47.44,67.5,55.40767987544962
105,0.034455135999984066,4.84,27.46,52.87407309949632
106,0.03458038199998725,3.5,26.4,48.87728515304361
107,0.03473679799998308,-18.0,47.1,38.76193593279147
108,0.034844712999976934,-96.02,105.8,37.83936855838242
109,0.035031320999976856,-57.18,84.56,33.972950064021305
110,0.035403716999979906,-151.64,145.26,31.097883799948175
111,0.03551661599998113,-132.58,143.06,34.78880676614942
112,0.036062881999981755,-167.22,147.34,34.93772149303054
113,0.03617673999998061,-154.12,117.72,35.130398221841205
114,0.03633437899998171,-136.54,149.42,40.76504413126469
115,0.03665211399997759,-202.22,200.0,49.26653350972565
116,0.03751005999998114,-216.08,200.0,57.18408324777731
117,0.03834642599997551,-203.86,196.66,60.90833143630691
118,0.038903107999978204,-241.8,198.36,65.77394676566325
119,0.03919662599997764,-193.9,189.7,73.78322524154316
120,0.039360434999977656,-76.84,98.56,76.65870452341302
121,0.03949593499997661,-87.08,110.18,76.523770996789
122,0.039695229999971104,-30.56,57.58,69.54976481465674
123,0.03979029399997103,-74.16,85.42,69.90786109988365
