iter,time,reward,steps,convergence
1,0.017076284,-174.46,179.06,79.734
2,0.022041601999999993,-167.64,169.78,62.946971999999995
3,0.026995616999999972,-28.68,63.86,28.50932304009946
4,0.033507291999999966,-24.56,60.9,20.96676001479655
5,0.038606998999999975,-2.82,39.96,19.13428885382096
6,0.04577540200000002,15.32,26.18,14.77486164432683
7,0.05286205899999996,14.66,25.42,13.954427825758444
8,0.057260054999999976,8.88,26.3,13.239693227692852
9,0.06132320999999996,15.1,24.98,11.908570407041665
10,0.06833231400000006,10.94,26.38,11.28695111220982
11,0.07275349800000008,16.12,25.92,10.906933290131958
12,0.07800562700000013,14.06,26.82,9.664066179455194
13,0.08333956300000012,5.98,26.44,7.779841162976531
14,0.08984832900000017,8.76,26.24,6.709351041964712
15,0.09542249100000011,19.12,25.86,5.578722379473643
16,0.10265864800000013,14.14,31.36,4.11111341948353
17,0.11609886600000008,37.32,49.18,2.81769159890991
18,0.12020482200000004,40.02,49.52,2.0389157527527857
19,0.126752933,36.68,48.14,1.4511435586095445
20,0.13190621800000013,40.08,50.88,1.2309633587090225
21,0.13631051900000024,39.36,49.74,1.1792922901198573
22,0.14127063800000017,38.02,47.52,1.0741019998985273
23,0.14922005700000018,38.64,48.66,1.037096801923525
24,0.15361732100000025,38.16,51.1,0.9861083961537602
25,0.15845948300000012,35.74,49.68,0.9031330797256523
26,0.16304495200000013,41.9,49.86,0.8824812740334753
27,0.1678656580000002,38.14,50.32,0.8644601271577859
28,0.1725490120000004,38.14,48.46,0.8372616075949644
29,0.17711479900000038,38.2,48.74,0.7763249883633918
30,0.18176810400000032,38.32,50.66,0.7192873904623855
31,0.19109604800000035,31.2,49.32,0.617277090181668
32,0.19608472600000026,39.02,50.5,0.4902055521167181
33,0.20033308100000036,37.46,51.88,0.36563091162801165
34,0.2045794830000005,37.34,48.8,0.2590800300250429
35,0.2093258720000004,32.7,49.8,0.17594888214555837
36,0.21349873400000052,42.0,49.32,0.1153149216392606
37,0.2178398340000005,40.5,48.84,0.07332862417790587
38,0.2217861370000005,39.72,48.84,0.04543695315594398
39,0.23251076100000057,34.18,50.8,0.027528986457177496
40,0.23759243700000066,43.72,49.74,0.01635521170895693
41,0.24492120700000064,35.84,48.52,0.009551850029803077
42,0.25174947600000075,41.12,50.02,0.005496934670123466
43,0.25679616400000094,40.58,49.56,0.003125367525385059
44,0.26371628700000116,41.32,49.46,0.001761554934294196
45,0.2679653760000009,39.04,47.12,0.0009889412707284606
46,0.27216328800000134,37.84,49.8,0.0005567815375986385
47,0.27658088000000136,39.94,49.58,0.00031730538762175797
48,0.2807718550000011,37.18,50.02,0.00018511999537729196
49,0.292474298000001,37.06,49.24,0.00011181014579086934
50,0.296691817000001,37.08,51.1,7.044614178575159e-05
51,0.3024462110000008,40.38,49.32,4.633528101827267e-05
52,0.3083589860000009,38.9,50.72,3.160851889738581e-05
53,0.3127088670000009,36.98,51.12,2.211497545090424e-05
54,0.31687996400000085,41.32,49.98,1.5679620432251795e-05
55,0.32171798000000074,34.32,48.18,1.1150719915420382e-05
56,0.3260398350000009,34.88,52.32,7.894657583662479e-06
57,0.332005843000001,37.34,50.5,5.537278006784163e-06
58,0.33889143200000094,39.94,48.96,3.836479592678188e-06
59,0.3432194410000009,37.4,50.8,2.6217590960442294e-06
60,0.3550413730000006,40.62,52.12,1.7661510032240813e-06
61,0.36607288200000054,36.94,51.5,1.172865644605281e-06
62,0.3703614210000006,39.48,51.74,7.681231828371438e-07
