iter,time,reward,steps,convergence
1,0.07928942399999528,-299.0,300.0,79.8
2,0.18176396699999486,-299.0,300.0,253.50806208131542
3,0.28726444800000195,-299.45,300.0,53.810203200908155
4,0.3818094079999952,-299.0,300.0,68.01796477775059
5,0.4784682979999957,-299.0,300.0,59.26262921650538
6,0.5743241949999884,-299.0,300.0,57.2279349595418
7,0.6729295009999845,-299.0,300.0,49.539801753977216
8,0.7760634499999952,-296.64,298.39,21.530558451562538
9,0.8794816599999962,-285.01,284.32,19.75478694783877
10,0.9759381089999977,-242.23,244.72,9.366186429259443
11,1.070266985999993,-65.13,56.47,10.594097248239933
12,1.1680850439999944,-45.15,70.7,11.568709217415432
13,1.2668943439999936,-47.26,72.12,12.302726826331188
14,1.3616699009999849,-38.88,71.86,12.987890192780092
15,1.4573666649999808,-46.47,71.0,12.769170503738053
16,1.5548592259999765,-46.53,71.61,8.314516276301774
17,1.6587138939999733,-43.96,72.11,7.015018229125587
18,1.7588277759999755,-52.11,73.43,4.936198075516359
19,1.8493105729999684,-45.27,71.46,3.5594183743530152
20,1.863847394999965,-43.31,71.0,0.0006492162009834601
21,1.8789871369999673,-49.85,70.56,0.0003434450905928088
22,1.893119126999963,-55.55,72.22,0.00017086916304265287
23,1.9067494349999663,-46.26,72.86,8.160221072728291e-05
24,1.9223253719999605,-51.71,72.9,5.180257298320612e-05
25,1.9353916199999617,-47.36,69.41,3.4809145674330466e-05
26,1.947769423999958,-52.71,72.78,2.1831430970564725e-05
27,1.959784287999966,-54.06,72.43,1.2973747075761821e-05
28,1.9718484619999543,-46.91,69.92,7.386214591065254e-06
29,1.98780763299996,-48.15,72.62,4.062044752117799e-06
30,2.002117068999951,-43.02,70.35,2.1716840450380914e-06
31,2.016288018999944,-46.91,70.7,1.1343305175159912e-06
32,2.0290812829999396,-42.75,69.94,5.811512693298937e-07
