iter,time,reward,steps,convergence
1,0.0009313369999972565,-778.37,300.0,90.63171
2,0.0017617930000142223,-645.91,300.0,85.14171
3,0.002593423000007533,-693.88,300.0,75.24171
4,0.003411121999988609,-633.59,300.0,66.15171000000001
5,0.004263423999987026,-781.93,300.0,60.66171000000001
6,0.005100824000010107,-521.96,298.95,55.171710000000004
7,0.005944561999967846,-448.44,300.0,52.007220000000004
8,0.0068138359999920795,-437.57,300.0,42.923505464068924
9,0.008131999000056567,-483.22,300.0,34.555215464068915
10,0.008996187999969152,-462.49,300.0,24.65521546412048
11,0.010248467999986133,-378.72,300.0,24.74103400022048
12,0.011456195999926422,-392.06,300.0,20.331034000220484
13,0.012404546999960075,-355.39,300.0,22.41693637098236
14,0.013274070999955256,-353.61,300.0,21.606936370982357
15,0.01421377899998788,-343.76,300.0,17.204875861279866
16,0.015371967999953995,-356.48,300.0,15.031988391028738
17,0.01619127399987974,-299.18,300.0,9.598609965386002
18,0.017653524999900583,-299.9,300.0,10.172503704192692
19,0.018559625999955642,-319.26,300.0,8.640793704192692
20,0.019585203000019646,-300.26,300.0,8.640858554792612
21,0.020402707000016562,-356.6,300.0,7.02333876189722
22,0.021338721000006444,-360.76,300.0,7.8468385097558215
23,0.022325424999962706,-309.94,300.0,6.501390459383974
24,0.023335040000006302,-305.39,300.0,6.501981386753727
25,0.02439287200002127,-302.96,300.0,6.494094821623383
26,0.025214642000037202,-299.0,300.0,4.256982291874513
27,0.0260093599999891,-299.0,300.0,2.9548507175172487
28,0.026976588000025004,-299.0,300.0,1.564671515056716
29,0.02778779300001588,-299.0,300.0,1.5646720778177765
30,0.028683761000024788,-299.0,300.0,1.5646072326858118
31,0.02958978300000581,-299.0,300.0,1.564598489481203
32,0.030440909000049032,-299.0,300.0,0.7410987469661621
33,0.0312999940000509,-299.0,300.0,0.0006444266389493691
