iter,time,reward,steps,shape
155,0.032041086999999996,98.56,3.44,2
204,0.03567903299999997,95.86,6.14,3
320,0.028315281999999997,92.95,9.05,4
400,0.03870205400000004,89.92,12.08,5
565,0.1819635420000001,84.55,17.45,7
925,0.44887207400000007,76.73,25.27,10
1561,1.243689345,63.37,38.63,15
2225,1.0813734519999993,48.84,53.16,20
2732,1.7985831179999998,34.9,67.1,25
3706,3.261817336,21.94,80.06,30
5137,5.062809316000006,9.26,92.74,35
4862,6.690932502999999,-5.93,107.93,40
25,0.27153930700001183,-3976.86,3979.88,50
