iter,time,reward,steps,shape
15,0.053560966,98.44,3.56,2
18,0.08180970899999998,95.46,6.54,3
22,0.16351298599999997,93.28,8.72,4
26,0.06984209799999996,90.88,11.12,5
30,0.15975219500000004,85.72,16.28,7
35,0.598675286,77.62,24.38,10
43,1.5904261120000003,63.86,38.14,15
51,1.5368021899999995,50.35,51.65,20
65,3.1090166019999987,37.17,64.83,25
69,4.4492342329999985,23.94,78.06,30
78,6.770315632999996,10.58,91.42,35
90,10.378402565000002,-2.99,104.99,40
107,19.849959067,-30.75,132.75,50
